 1  0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 2.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
 2  0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00-0.05 2.00 0.05 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
 3  0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00-0.10 1.99 0.10 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
 4  0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.01-0.15 1.99 0.15 0.01 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
 5  0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.01-0.20 1.98 0.20 0.01 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
 6  0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.02-0.25 1.96 0.25 0.02 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
 7  0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.03-0.30 1.95 0.30 0.03 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
 8  0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.03-0.34 1.93 0.34 0.03 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
 9  0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.04-0.39 1.91 0.39 0.04 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
10  0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.05-0.44 1.89 0.44 0.05 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
11  0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00-0.01 0.07-0.48 1.87 0.48 0.07 0.01 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
12  0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00-0.01 0.08-0.52 1.84 0.52 0.08 0.01 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
13  0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00-0.01 0.09-0.57 1.81 0.57 0.09 0.01 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
14  0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00-0.01 0.11-0.61 1.78 0.61 0.11 0.01 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
15  0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00-0.02 0.12-0.65 1.75 0.65 0.12 0.02 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
16  0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00-0.02 0.14-0.69 1.71 0.69 0.14 0.02 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
17  0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00-0.02 0.16-0.73 1.68 0.73 0.16 0.02 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
18  0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00-0.03 0.18-0.76 1.64 0.76 0.18 0.03 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
19  0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00-0.03 0.20-0.80 1.60 0.80 0.20 0.03 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
20  0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.01-0.04 0.22-0.83 1.56 0.83 0.22 0.04 0.01 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
21  0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.01-0.04 0.24-0.86 1.51 0.86 0.24 0.04 0.01 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
22  0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.01-0.05 0.26-0.90 1.47 0.90 0.26 0.05 0.01 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
23  0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.01-0.06 0.28-0.92 1.42 0.92 0.28 0.06 0.01 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
24  0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.01-0.06 0.30-0.95 1.37 0.95 0.30 0.06 0.01 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
25  0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.01-0.07 0.32-0.98 1.33 0.98 0.32 0.07 0.01 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
26  0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.01-0.08 0.35-1.00 1.28 1.00 0.35 0.08 0.01 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
27  0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.02-0.09 0.37-1.02 1.22 1.02 0.37 0.09 0.02 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
28  0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.02-0.10 0.39-1.04 1.17 1.04 0.39 0.10 0.02 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
29  0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.02-0.11 0.42-1.06 1.12 1.06 0.42 0.11 0.02 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
30  0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.02-0.12 0.44-1.07 1.07 1.07 0.44 0.12 0.02 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
31  0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.03-0.13 0.47-1.09 1.01 1.09 0.47 0.13 0.03 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
32  0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00-0.01 0.03-0.14 0.49-1.10 0.96 1.10 0.49 0.14 0.03 0.01 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
33  0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00-0.01 0.03-0.15 0.51-1.11 0.90 1.11 0.51 0.15 0.03 0.01 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
34  0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00-0.01 0.04-0.17 0.54-1.12 0.84 1.12 0.54 0.17 0.04 0.01 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
35  0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00-0.01 0.04-0.18 0.56-1.12 0.79 1.12 0.56 0.18 0.04 0.01 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
36  0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00-0.01 0.05-0.19 0.59-1.12 0.73 1.12 0.59 0.19 0.05 0.01 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
37  0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00-0.01 0.05-0.21 0.61-1.13 0.68 1.13 0.61 0.21 0.05 0.01 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
38  0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00-0.01 0.06-0.22 0.63-1.13 0.62 1.13 0.63 0.22 0.06 0.01 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
39  0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00-0.01 0.06-0.24 0.65-1.12 0.56 1.12 0.65 0.24 0.06 0.01 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
40  0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00-0.01 0.07-0.25 0.67-1.12 0.51 1.12 0.67 0.25 0.07 0.01 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
41  0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00-0.02 0.07-0.27 0.70-1.11 0.45 1.11 0.70 0.27 0.07 0.02 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
42  0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00-0.02 0.08-0.28 0.72-1.11 0.40 1.11 0.72 0.28 0.08 0.02 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
43  0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00-0.02 0.09-0.30 0.74-1.10 0.34 1.10 0.74 0.30 0.09 0.02 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
44  0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00-0.02 0.10-0.31 0.76-1.08 0.29 1.08 0.76 0.31 0.10 0.02 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
45  0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.01-0.03 0.10-0.33 0.77-1.07 0.23 1.07 0.77 0.33 0.10 0.03 0.01 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
46  0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.01-0.03 0.11-0.35 0.79-1.06 0.18 1.06 0.79 0.35 0.11 0.03 0.01 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
47  0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.01-0.03 0.12-0.37 0.81-1.04 0.13 1.04 0.81 0.37 0.12 0.03 0.01 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
48  0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.01-0.03 0.13-0.38 0.83-1.02 0.08 1.02 0.83 0.38 0.13 0.03 0.01 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
49  0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.01-0.04 0.14-0.40 0.84-1.00 0.03 1.00 0.84 0.40 0.14 0.04 0.01 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
50  0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.01-0.04 0.15-0.42 0.85-0.98-0.02 0.98 0.85 0.42 0.15 0.04 0.01 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
