 ****     -80.000     -70.000     -60.000     -50.000     -40.000     -30.000     -20.000     -10.000       0.000      10.000      20.000      30.000      40.000      50.000      60.000      70.000      80.000      90.000     100.000     110.000     120.000     130.000     140.000     150.000     160.000     170.000     180.000     190.000     200.000     210.000     220.000     230.000     240.000     250.000     260.000     270.000     280.000     290.000     300.000     310.000     320.000     330.000     340.000     350.000     360.000     370.000     380.000     390.000     400.000     410.000     420.000     430.000     440.000     450.000     460.000     470.000     480.000     490.000     500.000
 
    1   0.000E+00  -1.#JE+000  -1.#JE+000  -1.#JE+000  -1.#JE+000  -1.#JE+000  -1.#JE+000  -1.#JE+000  -1.#JE+000  -1.#JE+000  -1.#JE+000  -1.#JE+000  -1.#JE+000  -1.#JE+000  -1.#JE+000  -1.#JE+000  -1.#JE+000  -0.1#JE+01   0.1#JE+01  -0.1#JE+01   0.1#JE+01  -0.1#JE+01   0.1#JE+01  -0.1#JE+01   0.1#JE+01  -0.1#JE+01   0.1#JE+01  -0.1#JE+01   0.1#JE+01  -0.1#JE+01   0.1#JE+01  -0.1#JE+01   0.1#JE+01  -0.1#JE+01   0.1#JE+01  -0.1#JE+01   0.1#JE+01  -0.1#JE+01   0.1#JE+01  -0.1#JE+01   0.1#JE+01  -0.1#JE+01   0.1#JE+01  -0.1#JE+01   0.1#JE+01  -0.1#JE+01   0.1#JE+01  -0.1#JE+01   0.1#JE+01  -0.1#JE+01   0.1#JE+01  -0.1#JE+01   0.1#JE+01  -0.1#JE+01   0.1#JE+01  -0.1#JE+01   0.1#JE+01  -0.1#JE+01   0.1#JE+01  -0.1#JE+01
 
    2   0.000E+00   0.000E+00   0.150E+05  -0.125E+05  -0.940E+04  -0.650E+04  -0.380E+04  -0.130E+04   0.100E+04   0.310E+04   0.500E+04   0.670E+04   0.820E+04   0.950E+04   0.106E+05  -0.165E+05   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.900E+03
 
    3   0.000E+00  -0.150E+06   0.290E+06  -0.435E+05  -0.384E+05  -0.335E+05  -0.288E+05  -0.243E+05  -0.200E+05  -0.159E+05  -0.120E+05  -0.830E+04  -0.480E+04  -0.150E+04   0.282E+06  -0.182E+06   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00  -0.900E+04   0.107E+05
 
    4   0.150E+07  -0.455E+07   0.363E+07  -0.945E+05  -0.874E+05  -0.805E+05  -0.738E+05  -0.673E+05  -0.610E+05  -0.549E+05  -0.490E+05  -0.433E+05  -0.378E+05  -0.283E+07   0.491E+07  -0.200E+07   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.900E+05  -0.206E+06   0.118E+06
 
    5   0.620E+08  -0.863E+08   0.408E+08  -0.166E+06  -0.156E+06  -0.148E+06  -0.139E+06  -0.130E+06  -0.122E+06  -0.114E+06  -0.106E+06  -0.983E+05   0.279E+08  -0.803E+08   0.740E+08  -0.220E+08   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00  -0.900E+06   0.305E+07  -0.345E+07   0.130E+07
 
    6   0.154E+10  -0.136E+10   0.451E+09  -0.257E+06  -0.245E+06  -0.235E+06  -0.224E+06  -0.213E+06  -0.203E+06  -0.193E+06  -0.183E+06  -0.280E+09   0.111E+10  -0.162E+10   0.103E+10  -0.242E+09   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.900E+07  -0.404E+08   0.681E+08  -0.510E+08   0.143E+08
